DIA;MES;ANO;DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
28;10;2023;AUS;BOG;216960;38244;161422463
28;10;2023;AUS;BOG;19600;5467;23102656
28;10;2023;AUS;BOG;22000;2200;9288598
28;10;2023;AUS;BOG;8100;4860;20560765
28;10;2023;AUS;BOG;335;223;942708
28;10;2023;AUS;BOG;1500;315;1329958
28;10;2023;AUS;BOG;5400;1134;4787850
28;10;2023;AUS;BOG;7150;2431;10663970
28;10;2023;AUS;BOG;33600;5880;23877680
28;10;2023;AUS;BOG;16850;3370;14783111
28;10;2023;AUS;BOG;60770;11638;47178875
28;10;2023;AUS;BOG;2988;3002;13170508
28;10;2023;AUS;BOG;40;84;368479
28;10;2023;AUS;BOG;500;20;84639
28;10;2023;AUS;BOG;140;465;1967020
28;10;2023;AUS;BOG;367;10111;42772880
28;10;2023;AUS;BOG;5;166;700772
28;10;2023;AUS;BOG;189;1393;5911095
28;10;2023;AUS;BOG;4;15;60644
28;10;2023;AUS;BOG;1;1;5318
28;10;2023;AUS;BOG;149;1941;8222110
28;10;2023;AUS;BOG;208;6935;29349317
28;10;2023;AUS;BOG;2791;63011;266799589
28;10;2023;AUS;BOG;254;3850;16768331
28;10;2023;AUS;BOG;710;18135;75409223
28;10;2023;AUS;BOG;3750;65651;276585353
28;10;2023;AUS;BOG;150;1714;7201422
28;10;2023;AUS;BOG;200;782;3430807
28;10;2023;AUS;BOG;293;23100;101068646
28;10;2023;AUS;BOG;4;415;1820332
28;10;2023;AUS;BOG;1650;314;1070854
28;10;2023;AUS;BOG;1000;180;753662
28;10;2023;AUS;BOG;20800;7688;32689005
28;10;2023;AUS;BOG;16;29805;130010272
28;10;2023;AUS;BOG;5;750;3105622
28;10;2023;AUS;BOG;4450;801;3386139
28;10;2023;AUS;BOG;50;173810;762446822
28;10;2023;AUS;BOG;0;20;82410
28;10;2023;AUS;BOG;35675;8596;36289179
28;10;2023;AUS;BOG;640;896;3782365
28;10;2023;AUS;BOG;630;1114;4700940
28;10;2023;AUS;BOG;1725;2987;10610347
28;10;2023;AUS;BOG;20700;2958;10486872
28;10;2023;AUS;BOG;2400;510;2107581
28;10;2023;AUS;BOG;1340;1131;4772710
