DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
AUS;BOG;3080;862;3428118
AUS;BOG;6450;3753;15358514
AUS;BOG;34;3316;13201494
AUS;BOG;14;1360;5413711
AUS;BOG;965;708;2886828
AUS;BOG;7;1757;7232025
AUS;BOG;15800;5492;21767926
AUS;BOG;219242;32724;133920290
AUS;BOG;32360;5864;23835206
AUS;BOG;500;138;560244
AUS;BOG;226;1405;5784806
AUS;BOG;477;12681;51683810
AUS;BOG;208;1300;5267813
AUS;BOG;349;1209;4840275
AUS;BOG;129;195;788265
AUS;BOG;1422;37831;153016357
AUS;BOG;558;14094;57120489
AUS;BOG;5178;76780;310114670
AUS;BOG;71;1828;7378207
AUS;BOG;169;2034;8211887
AUS;BOG;22;73;295119
AUS;BOG;358;3013;12165265
AUS;BOG;467;9276;38194354
AUS;BOG;211;2357;9704907
AUS;BOG;1008;9478;39027820
AUS;BOG;293;13824;56205481
AUS;BOG;25600;9432;38048496
AUS;BOG;1216;791;3236624
AUS;BOG;15000;11550;47266412
AUS;BOG;127;2436;9826410
AUS;BOG;83;3313;13510027
AUS;BOG;27150;6555;26614283
AUS;BOG;2360;4119;16777721
AUS;BOG;1080;1912;7761383
AUS;BOG;23400;3372;13690826
AUS;BOG;4767;1289;5109357
AUS;BOG;9000;2428;9638288
AUS;BOG;102575;32397;130552929
AUS;BOG;18000;3700;14705845
AUS;BOG;340;459;1863609
AUS;BOG;8250;1740;6916657
AUS;BOG;5400;810;3293727
AUS;BOG;1186;7798;32099111
AUS;BOG;44;3341;13281650
AUS;BOG;33;1356;5390818
AUS;BOG;9200;1814;7467494
AUS;BOG;93630;17819;71938285
AUS;BOG;255040;72546;292881986
AUS;BOG;18376;6520;25916315
AUS;BOG;45500;8962;35624757
AUS;BOG;50;168753;682960902
AUS;BOG;552;4601;18211125
AUS;BOG;1462;30460;123195775
AUS;BOG;8;2304;9301686
AUT;BOG;13080;2224;9066596
AUT;BOG;25740;4376;17842062
AUT;BOG;128;119334;491247299
AUT;BOG;20160;3202;12922126
AUT;BOG;72460;10959;44154375
AUT;BOG;160;2;6454
AUT;BOG;380;4;15329
AZE;BOG;7179;5070;20631407
AZE;BOG;432;35;141431
AZE;BOG;56300;7909;32158041
BHS;BOG;192;8418;33985025
BHS;BOG;682;7681;31007719
BHS;BOG;587;8240;33264911
BHS;BOG;3;2847;11493355
BHR;BOG;3468;2268;8989377
BHR;BOG;8237;3636;14800766
BHR;BOG;931;240;987982
BHR;BOG;541;51500;212004385
BHR;BOG;1006;317;1278659
BHR;BOG;3774;543;2192033
BHR;BOG;36;98;391308
BHR;BOG;7;31;124460
BHR;BOG;18500;4520;17992628
BHR;BOG;16762;2154;8561787
BHR;BOG;4558;834;3339726
BHR;BOG;11875;2969;12104900
BHR;BOG;103900;15657;62968945
BHR;BOG;7500;750;3054730
BHR;BOG;4000;800;3247195
BHR;BOG;920;120;482446
BHR;BOG;4110;2743;11295908
BHR;BOG;6180;1746;7120005
BHR;BOG;328;4180;17054501
BRB;BOG;58;5785;23672656
BEL;BOG;69;200;799570
BEL;BOG;169;977;3912783
BEL;BOG;448;3504;14146314
BEL;BOG;2646;13837;54844909
BEL;BOG;544;22280;88564210
BMU;BOG;481;21889;89575988
BMU;BOG;210;3786;15495526
BLR;BOG;26104;26089;106376903
BLR;BOG;95350;33270;136998188
BLR;BOG;2800;532;2190622
BLR;BOG;56350;10820;44555681
BLR;BOG;15200;2612;10605152
BLR;BOG;66150;22181;91051890
BLR;BOG;2200;418;1721203
